"id","query","agent","topic","batch"
"253","DEW-创建密钥库","知识Agent","知识问答","第一批"
"254","如何创建用于远程登陆的密钥","知识Agent","知识问答","第一批"
"255","安装gcc","知识Agent","知识问答","第一批"
"256","配置入项规则","知识Agent","知识问答","第一批"
"257","云数据库不支持oracle吗","知识Agent","知识问答","第一批"
"258","华为云有oracle吗","知识Agent","知识问答","第一批"
"259","大于128G的镜像怎么导出","资源管理","知识问答","第一批"
"260","ImageConvert服务是什么","知识Agent","知识问答","第一批"
"261","会务通是免费使用吗","知识Agent","知识问答","第一批"
"262","目睹是怎么收费","知识Agent","知识问答","第一批"
"263","怎么查名下认证几个账号","知识Agent","知识问答","第一批"
"264","gslb","知识Agent","知识问答","第一批"
"265","如何导出全部云产品清单","资源管理","知识问答","第一批"
"266","什么是回收站？","知识Agent","知识问答","第一批"
"267","DWS修改表属主语句","知识Agent","知识问答","第一批"
"268","按流量计费规则","知识Agent","知识问答","第一批"
"269","按需计费多久扣一次","知识Agent","知识问答","第一批"
"270","通过ip加端口访问不了服务","知识Agent","知识问答","第二批"
"271","按需购买，停机是否收费？","知识Agent","知识问答","第一批"
"272","一个订单备案多少个域名","知识Agent","知识问答","第一批"
"273","四川一个备案订单可以提交多少个域名","订单管理","知识","第一批"
"274","一个服务器可以备案多少条域名","ECS云服务使用","","第一批"
"275","我的服务器什么时候到期","订单管理","续费","第一批"
"276","如何通过接口查询规格的参考价格 以及规格是否售尽","知识Agent","知识问答","第一批"
"277","华为云备案显示管局审核，但是工信部那边发送消息显示已备案完成","知识Agent","知识问答","第一批"
"278","已经等待一天了","知识Agent","知识问答","第一批"
"279","短信服务不能用了吧？","知识Agent","知识问答","第一批"
"280","请求OCR接口,如何获取token","知识Agent","知识问答","第一批"
"281","应用服务器声音","知识Agent","知识问答","第一批"
"282","声音怎么同步到本地","知识Agent","知识问答","第一批"
"283","obs 图片上传完成之后,点击链接无法访问","知识Agent","知识问答","第一批"
"284","续费后，资源还是已过期","知识Agent","知识问答","第一批"
"285","云容器引擎可以单独部署么","CCE云服务使用","知识","第一批"
"286","域名是什么","知识Agent","知识问答","第一批"
"287","codeart svn检出问题","知识Agent","知识问答","第一批"
"288","05-06 17:43:21[ERROR][com.huaweicloud.sdk.core.HcClient.handleException:377] - ServiceResponseException occurred. Host: ocr.cn-north-4.myhuaweicloud.com Uri: https://ocr.cn-north-4.myhuaweicloud.com/v2/061517a38b000fca2f5bc017e0688853/ocr/license-plate ServiceResponseException: ClientRequestException {     httpStatusCode: 400     errorCode: AIS.0101     errorMsg: The input parameter is invalid.","知识Agent","知识问答","第一批"
"289","05-06 17:43:21[ERROR][com.huaweicloud.sdk.core.HcClient.handleException:377] - ServiceResponseException occurred. Host: ocr.cn-north-4.myhuaweicloud.com Uri: https://ocr.cn-north-4.myhuaweicloud.com/v2/061517a38b000fca2f5bc017e0688853/ocr/license-plate ServiceResponseException: ClientRequestException {     httpStatusCode: 400     errorCode: AIS.0101     errorMsg: The input parameter is invalid.     requestId: 17cee20bc8b495fff6a1e5c5f697d30b }","知识Agent","知识问答","第一批"
"290","流水线门禁","知识Agent","知识问答","第一批"
"291","群发短信，现在不支持购买了么","知识Agent","知识问答","第一批"
"292","最新的广东互联网信息服务备案承诺书（企业）在哪里","知识Agent","知识问答","第一批"
"293","最新的，带有快应用的单位版本的广东备案承诺书在哪里下载","知识Agent","知识问答","第一批"
"294","我填写问卷调查了","知识Agent","知识问答","第一批"
"295","怎么没有优惠券啊怎么没有优惠券啊","活动优惠券","","第一批"
"296","云邮箱密码不对","知识Agent","知识问答","第一批"
"297","电脑端怎么登录云邮箱","知识Agent","知识问答","第一批"
"298","IOS设备怎么远程","知识Agent","知识问答","第一批"
"299","怎么登录远程IP","知识Agent","知识问答","第二批"
"300","资源分配率和资源使用率区别","知识Agent","知识问答","第一批"
"301","备案里面的主办单位名称是什么","知识Agent","知识问答","第一批"
"302","小程序备案需要选择 网站，APP，快应用还是快游戏","知识Agent","知识问答","第一批"
"303","购买 300I duo服务器","ECS云服务使用","辅助购买","第一批"
"304","HEC07是哪个region?","知识Agent","知识问答","第一批"
"305","obs上传文件Status=413 Request Entity Too Large","知识Agent","知识问答","第一批"
"306","obs上传1兆大小文件Status=413 Request Entity Too Large","知识Agent","知识问答","第一批"
"307","服务器IP在哪里看","资源管理","资源查询","第二批"
"308","神经网络部署在云端","知识Agent","知识问答","第一批"
"309","余额怎么提现","知识Agent","知识问答","第一批"
"310","显示显示账号已成功更改为什么，之前的账号有影响吗","知识Agent","知识问答","第一批"
"311","通讯录","知识Agent","知识问答","第一批"
"312","在flink jar作业中配置的“参数”，如果在代码里获取？","知识Agent","知识问答","第一批"
"313","首行代码需要写        StreamExecutionEnvironment env = StreamExecutionEnvironment.getExecutionEnvironment(); 吗？还是说无所谓","知识Agent","知识问答","第一批"
"314","flink jar作业，在作业“参数”中配置的参数，在程序中获取不到，程序代码如下：public static void main(String[] args) throws Exception {","知识Agent","知识问答","第一批"
"315","[****mask****] 这个ip的主机被释放了吗？我找不到这个资源了","资源管理","知识问答","第一批"
"316","CCE拉取海外镜像失败","CCE云服务使用","节点异常问题诊断","第一批"
"317","CCE拉取第三方海外镜像失败","CCE云服务使用","节点异常问题诊断","第一批"
"318","华为云上的资源由于欠费原因被冻结，充值解冻后，所有cce节点都是不可用状态，怎么恢复","CCE云服务使用","节点异常问题诊断","第一批"
"319","用提货券买了个域名，域名没给啊","知识Agent","知识问答","第一批"
"320","华为云官网人员招聘链接","知识Agent","知识问答","第一批"
"321","华为云技术支持","转人工","转人工","第一批"
"322","如何找到我需要续费的产品","订单管理","续费","第一批"
"323","容器内访问OpenStack元数据API 超时","CCE云服务使用","知识","第一批"
"324","集群内访问(ClusterIP)","知识Agent","知识问答","第一批"
"325","使用ClusterIP访问","知识Agent","知识问答","第一批"
"326","我的服务部署在cce容器内,服务内调接口访问OpenStack元数据API 超时","CCE云服务使用","工作负载异常问题诊断","第一批"
"327","数字人","知识Agent","知识问答","第一批"
"328","2核4G服务器，188活动在哪里？","活动优惠券","","第一批"
"329","如何开具报价单","知识Agent","知识问答","第一批"
"330","实时计费的服务器，怎么买","ECS云服务使用","辅助购买","第一批"
"331","如何购买按需计费的服务器","ECS云服务使用","辅助购买","第一批"
"332","自定义镜像制作卡住不能取消","知识Agent","知识问答","第一批"
"333","不能取消-","知识Agent","知识问答","第一批"
"334","high-risk system invocation","知识Agent","知识问答","第一批"
"335","激活日期查询","知识Agent","知识问答","第一批"
"336","手机激活日期在哪里查询","知识Agent","知识问答","第一批"
"337","操作保护","知识Agent","知识问答","第一批"
"338","预付费还是后付费是如何判断的","知识Agent","知识问答","第一批"
"339","资金管理-余额提现","知识Agent","知识问答","第一批"
"340","合作伙伴如何处理子客户发起的解除关联事件？","知识Agent","知识问答","第一批"
"341","游戏服务器价格","ECS云服务使用","辅助购买","第一批"
"342","2核8G的游戏服务器价格","ECS云服务使用","辅助购买","第一批"
"343","为什么我配置的spf记录无法生效？","知识Agent","知识问答","第一批"
"344","制作自定义镜像长时间不动","知识Agent","知识问答","第一批"
"345","哪些产品是预付费哪些产品是后付费","知识Agent","知识问答","第一批"
"346","如何选择预付费模式和后付费模式","知识Agent","知识问答","第一批"
"347","安全大模型","知识Agent","知识问答","第一批"
"348","访问镜像源显示无法访问，状态码429","知识Agent","知识问答","第一批"
"349","如何联系运维人员","转人工","转人工","第一批"
"350","已经实名认证但是无法充值","知识Agent","知识问答","第一批"
"351","消费异常","账单与成本管理","账单查询","第一批"
"352","如何解封","知识Agent","知识问答","第一批"
"353","充值提示“请线下联系您的合作伙伴调账以完成充值”","知识Agent","知识问答","第一批"
"354","为什么没有优先抵扣我的代金卷","活动优惠券","","第一批"
"355","ModelArts Standard","知识Agent","知识问答","第一批"
"356","CCE纳管节点失败","CCE云服务使用","节点异常问题诊断","第一批"
"357","移动端","知识Agent","知识问答","第一批"
"358","请列明华为云可以提供哪些产品或服务？","知识Agent","知识问答","第一批"
"359","华为云有哪些产品","知识Agent","知识问答","第一批"
"360","个人申请企业抬头发票申请书可以电子手签吗","发票管理","发票rag","第一批"
"361","68的云服务器活动是否续费也是68","活动优惠券","","第一批"
"362","我4月16日的订单，什么时候能开出发票","发票管理","发票rag","第一批"
"363","RocketMQ开票税率","发票管理","发票rag","第一批"
"364","退款如何提取","知识Agent","知识问答","第一批"
"365","华为云开发者认证,工作级,云安全工作级开发者认证   如何申请退款","订单管理","退订","第一批"
"366","续费怎么用优惠卷","活动优惠券","","第二批"
"367","如何购买华为开发者大会2025门票","知识Agent","知识问答","第一批"
"368","云商店发票开具不了，说要联系客服添加银行信息","转人工","转人工","第二批"
"369","续费有没有优惠呢","活动优惠券","","第一批"
"370","订购的时候使用了优惠券，在退订的时候会怎么处理退款","订单管理","退订rag","第一批"
"371","我要买产品，但是上面显示有待支付订单不能进行当前操作怎么办？","订单管理","知识","第一批"
"372","在开放接口的查询订单中，退订订单会有哪些数据","订单管理","退订rag","第一批"
"373","续费优惠券","活动优惠券","","第一批"
"374","有没有域名续费的优惠","活动优惠券","","第一批"
"375","云服务器续费活动","活动优惠券","","第一批"
"376","未收到退款","订单管理","退订rag","第一批"
"377","开票入口","发票管理","开票","第二批"
"378","配额调整","配额管理","配额","第一批"
"379","你们那个营销邮件到底如何退订？","知识Agent","知识问答","第一批"
"380","订单无法支付，因为开启了敏感操作保护，且敏感操作保护的手机已经停用了","订单管理","知识","第一批"
"381","你好续费有没有优惠","活动优惠券","","第一批"
"382","活动购买的产品续费怎么算的","活动优惠券","","第二批"
"383","云服务器包年转按需 有手续费吗","订单管理","知识","第一批"
"384","我ecs续费没有活动价格了吗","活动优惠券","","第二批"
"385","订单里的优惠券不想用怎么操作","活动优惠券","","第一批"
"386","我还有8个月到期，现在退订的话能退多少钱","订单管理","退订","第一批"
"387","您好  服务器买错区域了 可以这个退订 重新在北京购买一个新的优惠的吗？","知识Agent","知识问答","第二批"
"388","Flexus L实例V0新用户活动购买L实例又退订后，还能享受新用户活动吗？","活动优惠券","","第二批"
"389","我的云主机马上到期续费有什么活动？","活动优惠券","","第二批"
"390","我想要更多配额","配额管理","配额","第一批"
"391","续费优惠券为什么失效短，不包括宽限期？","活动优惠券","","第二批"
"392","备案订单域名填写错误","订单管理","知识","第一批"
"393","在哪退款","订单管理","退订","第一批"
"394","我上个月刚续了月费，现在可以申请退款吗？","订单管理","退订","第一批"
"395","短信服务要停止，怎么申请退费","订单管理","退订","第一批"
"396","退订以后还是新用户么","订单管理","退订rag","第一批"
"397","Flexus L实例以套餐形式整体售卖、管理，套餐内资源统一续费、退订。 超出套餐内流量包的出网流量将按流量计费，产生额外费用","订单管理","知识","第一批"
"398","申请增加配额","配额管理","配额","第一批"
"399","我再扩容此盘时，点击购买提示“您有待支付的订单，不能进行当前操作”。实际没有未支付订单","订单管理","知识","第一批"
"400","华为云服务器退款","订单管理","退订","第一批"
"401","云商店订单退款","订单管理","退订","第一批"
"402","我的云服务已续费，为何系统提示还要冻结","订单管理","续费rag","第一批"
"403","SSL证书续费金额","订单管理","续费rag","第一批"
"404","原路退款体现","知识Agent","知识问答","第一批"
"405","能不能退款","订单管理","退订","第一批"
"406","一个月的续费没有优惠了吗","活动优惠券","","第二批"
"407","为什么显示我的成本异常？包年的到期了续费不是很正常？","知识Agent","知识问答","第一批"
"408","退款政策","订单管理","退订rag","第一批"
"409","学生如何开出学校抬头发票","发票管理","发票rag","第一批"
"410","Flexus L实例-2核4G5M 1年 APP等Web类应用开发、部署优选 新购续费同价188元/年，限新购、续费各1次 是什么意思","知识Agent","","第二批"
"411","如何退款","订单管理","退订","第一批"
"412","短信服务如何退费","订单管理","退订","第一批"
"413","申请IP配额加到20个","配额管理","配额","第一批"
"414","我的短信业务显示暂停使用，请问要如何退款？","订单管理","退订","第一批"
"415","买错了退款","订单管理","退订","第一批"
"416","误操作退款申请","订单管理","退订","第一批"
"417","待支付订单 不能进行当前操作","订单管理","知识","第一批"
"418","我们数据在华为云受到黑客攻击 数据都已经丢失  现在公司决定不再使用，这边已经续费一年了目前只用了四个月 剩下8个月的费用能不能退款","订单管理","退订","第一批"
"419","短信退款","订单管理","退订","第一批"
"420","人工退订","转人工","转人工","第一批"
"421","CDN如何退款","订单管理","退订","第一批"
"422","我服务器已经续费1年为什么账号还会不断扣除虚拟私有云 VPC是什么费用","账单与成本管理","扣费溯源","第一批"
"423","在其他家公司买的域名可以在华为云续费吗？","订单管理","知识问答","第一批"
"424","退款怎样取出来","知识Agent","知识问答","第一批"
"425","你好 冻结退款 怎么提现","知识Agent","知识问答","第一批"
"426","我的云服务器还有两个月就到期了，但是续费需要500多，我如何再次享受68一年","活动优惠券","","第二批"
"427","扩配额","配额管理","配额","第一批"
"428","消息&短信-消息&短信服务支持短信退订回复吗？","知识Agent","知识问答","第一批"
"429","2025开发者大会早鸟票","活动优惠券","知识问答","第一批"
"430","Flexus L实例如何卸载、退订数据盘?","知识Agent","知识问答","第一批"
"431","我退订了我的服务器，但是我的退订后的优惠券余额没有到账","活动优惠券","","第二批"
"432","服务器到期忘记续费怎么办","订单管理","续费","第一批"
"433","我的账户中关于企业邮箱服务如果没有续费，停用后会影响到我的域名解析吗","知识Agent","知识问答","第一批"
"434","开年采购续费有优惠吗","活动优惠券","","第一批"
"435","域名即将过期，已经续费，续费当天，系统自动生成了一条证书申请的记录，但是域名是错误的","知识Agent","知识问答","第一批"
"436","ssl证书续费后需要重新部署吗","知识Agent","知识问答","第一批"
"437","发票抬头个人可以修改为具体人名吗","发票管理","发票rag","第一批"
"438","企业邮箱到期，不续费多久把邮箱删除？","知识Agent","知识问答","第一批"
"439","请提供我账号的续费的客户经理联系方式","转人工","转人工","第二批"
"440","注销账号并退款","知识Agent","知识问答","第一批"
"441","res for mysql主备版 立即购买  比续费便宜些，可否直接购买","知识Agent","知识问答","第一批"
"442","升级配额","配额管理","配额","第二批"
"443","Flexus云服务续费有优惠吗","活动优惠券","","第一批"
"444","我的这个续费 优惠券可以用吗","活动优惠券","","第二批"
"445","我是华为云商城软件卖家，客户续费后多久我可以收到费用","知识Agent","知识问答","第一批"
"446","华为云活动限制： 1、注册五年内的企业 2、最好是科技类公司，什么科技不限 3、没有被其他公司控股 4、没有参与过华为云的初创类活动 购买注意： 额度总计25000元，分两次拨发额度。 首次拨发一到两周到账，第二次拨发在首次拨发后的下个月。 资格需要审核，如没有通过审核，款项全额退款或帮客户重新换主体提交。","知识Agent","知识问答","第一批"
"447","支持五天无理由退订的产品有哪些","订单管理","退订rag","第一批"
"448","ECS 到期不续费后，哪些资源会自动删除，哪些资源不会自动释放？","ECS云服务使用","知识问答","第一批"
"449","资源包可以退订吗","订单管理","退订","第一批"
"450","请问续费可以享受哪些专属优惠？？？","活动优惠券","","第一批"
"451","请问续费@可以享受哪些专属优惠？","活动优惠券","","第一批"
"452","请问续费可以享受哪些专鼠优惠？","活动优惠券","","第一批"
"453","请问续费 可以享受哪些专属优惠？","活动优惠券","","第一批"
"454","请请问续续费可以享受哪些专属优惠？","活动优惠券","","第一批"
"455","I want续费enjoy哪些优惠？","活动优惠券","","第一批"
"456","俺续费有啥专属优惠不？","活动优惠券","","第二批"
"457","ECS续费有啥优惠？","活动优惠券","","第二批"
"458","拉个续费EIP有哪些专属优惠？","活动优惠券","","第二批"
"459","请问续费可以享受啥专鼠优惠？","活动优惠券","","第二批"
"460","华为云去年10月份到期没有续费 现在可不可以用了","订单管理","续费rag","第一批"
"461","退订使用中的资源-不可退订不可退订","订单管理","退订rag","第一批"
"462","续费没有优惠价格了吗","活动优惠券","","第二批"
"463","ECS退订","订单管理","退订","第一批"
"464","帮我计算一下我账户下的服务器退订能得到多少钱","订单管理","退订","第一批"
"465","产品续费是否有优惠","活动优惠券","","第二批"
"466","优惠专属哪些享受可以续费请问？","活动优惠券","","第二批"
"467","请问续费可以享受哪些专属优惠吗","活动优惠券","","第二批"
"468","续费不能使用优惠卷嘛","活动优惠券","","第二批"
"469","注销华为云 提示有余额 需要提现后才能注销 提现被驳回 驳回原因: 尊敬的客户，您好！您的退款属于第三方支付非原路退款，为控制资金风险，需要您这边提供与华为云账号实名一致的用户名。谢谢！  但账号的实名企业已注销 公户也已注销 请问如何提现 如何注销华为云","知识Agent","知识问答","第一批"
"470","服务器 续费优惠券","活动优惠券","","第二批"
"471","华为云devops开发认证+退费","订单管理","退订rag","第一批"
"472","云服务器配额不足 怎么办","配额管理","配额","第二批"
"473","代金劵买的ecs,退订的话会返还吗","活动优惠券","","第二批"
"474","啥时候续费可以便宜啊","活动优惠券","","第二批"
"475","云商店是否可以提供开放接口","知识Agent","知识问答","第一批"
"476","我使用了免费一个月，就不能用30元续费一年了吗","活动优惠券","","第二批"
"477","续费有什么优惠","活动优惠券","","第二批"
"478","Flexus资源退订会返还优惠券吗","活动优惠券","","第二批"
"479","你好，我想问下，我服务器到期之后不打算继续续费，我的账号是否可以继续保留","知识Agent","知识问答","第一批"
"480","云虚拟机续费优惠","活动优惠券","","第二批"
"481","你好，现在对华为云服务器续费有优惠吗","活动优惠券","","第二批"
"482","我是一名学生，去年我购买了Flexus L云服务器，现在还有一个月就要到期了，我要续费却发现没有学生优惠是怎么回事","活动优惠券","","第二批"
"483","Flexus L实例续费折扣","活动优惠券","","第二批"
"484","续费可以优惠吗","活动优惠券","","第二批"
"485","我已经购买了一个月的ECS，无法生成备案授权码，若在原订单上续费两个月，可以生成备案授权码吗","ECS云服务使用","知识问答","第一批"
"486","扩容报错有待支付订单，但是看不到在哪","订单管理","知识","第一批"
"487","华为云桌面续费的时候如何扩充硬盘空间","知识Agent","知识问答","第一批"
"488","域名过期15天后，续费后影响使用吗","知识Agent","知识问答","第一批"
"489","续费49元活动","活动优惠券","","第二批"
"490","企业门户昨天到期了 今天续费为什么官网还是进不去","知识Agent","知识问答","第一批"
"491","云服务器续费什么价格","订单管理","续费rag","第一批"
"492","使用代金卷购买的RDS，我现在退订云服务，会返回代金卷吗","活动优惠券","","第二批"
"493","ECS为按需，我在按需的基础上进行了续费三年，现在想将这个按需三年的费用退掉，ECS会被释放掉吗？","订单管理","退订rag","第一批"
"494","服务器冻结了续费后数据还在吗","ECS云服务使用","知识问答","第一批"
"495","打不开续费页面","订单管理,页面导航","续费","第二批"
"496","退订后还有新用户优惠吗","活动优惠券","","第二批"
"497","续费-参加活动购买的资源续费时是否有折扣？","活动优惠券","","第二批"
"498","华为云服务器现在续费有没有什么优惠","活动优惠券","","第二批"
